year,month,precip_mm_day,avg_temp_c
1990,1,2.85,7.46
1990,2,0.62,11.45
1990,3,1.12,12.12
1990,4,2.69,12.65
1990,5,0.48,18.29
1990,6,0.22,20.5
1990,7,0.12,25.95
1990,8,0.29,25.8
1990,9,0.67,22.73
1990,10,5.31,16.17
1990,11,3.16,10.59
1990,12,1.98,7.22
1991,1,2.25,7.06
1991,2,4.24,7.74
1991,3,3.52,11.71
1991,4,1.13,13.05
1991,5,0.06,17.75
1991,6,0.41,21.36
1991,7,0.06,24.8
1991,8,0.23,26.18
1991,9,1.1,22.62
1991,10,2.18,14.58
1991,11,2.15,11.15
1991,12,1.2,8.11
1992,1,1.33,5.28
1992,2,0.91,8.34
1992,3,0.98,12.59
1992,4,2.44,14.53
1992,5,1.75,18.91
1992,6,0.93,18.71
1992,7,0.04,25.66
1992,8,0.88,24.66
1992,9,1.14,20.24
1992,10,3.12,14.17
1992,11,1.13,12.56
1992,12,3.26,8.75
1993,1,0.99,6.7
1993,2,1.54,8.45
1993,3,1.2,11.52
1993,4,3.55,12.61
1993,5,4.21,15.12
1993,6,0.8,20.7
1993,7,0.01,24.38
1993,8,0.1,23.57
1993,9,2.52,18.14
1993,10,6.38,13.49
1993,11,4.25,10.54
1993,12,0.63,9.18
1994,1,3.47,7.81
1994,2,4.76,8.68
1994,3,0.19,13.49
1994,4,0.77,12.86
1994,5,5.01,15.88
1994,6,0.03,21.23
1994,7,0.14,22.34
1994,8,0.25,22.93
1994,9,0.31,19.36
1994,10,2.38,17.03
1994,11,3.08,12.91
1994,12,1.34,10.31
1995,1,2.44,9.33
1995,2,3.63,10.62
1995,3,0.89,12.49
1995,4,0.94,15.5
1995,5,0.69,18.89
1995,6,0.37,22.18
1995,7,0.13,24.8
1995,8,0.01,26.0
1995,9,1.49,19.53
1995,10,1.1,19.06
1995,11,5.16,13.91
1995,12,10.56,10.79
1996,1,10.9,9.96
1996,2,3.56,7.7
1996,3,2.57,10.94
1996,4,1.74,14.48
1996,5,4.43,15.81
1996,6,0.11,21.54
1996,7,0.13,22.9
1996,8,0.15,21.31
1996,9,1.76,19.19
1996,10,1.35,16.41
1996,11,2.17,11.72
1996,12,8.56,9.4
1997,1,5.25,8.06
1997,2,0.18,10.75
1997,3,0.0,15.0
1997,4,1.61,16.88
1997,5,3.81,16.03
1997,6,1.32,18.21
1997,7,0.84,23.26
1997,8,1.14,22.98
1997,9,0.71,22.61
1997,10,3.75,18.1
1997,11,9.68,12.95
1997,12,4.71,9.99
1998,1,2.0,9.0
1998,2,1.96,10.98
1998,3,1.05,13.39
1998,4,2.6,12.09
1998,5,3.52,16.82
1998,6,0.44,20.18
1998,7,0.04,23.5
1998,8,0.01,26.04
1998,9,2.38,20.76
1998,10,0.64,16.2
1998,11,0.92,12.05
1998,12,1.53,7.38
1999,1,1.66,7.38
1999,2,0.49,8.29
1999,3,1.86,11.72
1999,4,1.07,14.53
1999,5,1.4,17.71
1999,6,0.12,22.35
1999,7,0.2,25.57
1999,8,0.72,23.22
1999,9,2.25,20.42
1999,10,4.48,16.14
1999,11,0.81,9.64
1999,12,1.97,8.89
2000,1,0.32,5.71
2000,2,0.41,11.13
2000,3,0.93,12.56
2000,4,5.76,11.66
2000,5,2.8,17.55
2000,6,0.1,21.77
2000,7,0.47,22.87
2000,8,0.17,23.21
2000,9,0.56,21.18
2000,10,1.65,15.78
2000,11,5.04,10.96
2000,12,7.25,10.26
2001,1,6.0,9.51
2001,2,2.59,9.79
2001,3,4.56,12.68
2001,4,0.73,13.6
2001,5,1.57,17.12
2001,6,0.35,20.97
2001,7,0.5,21.38
2001,8,0.18,22.76
2001,9,1.1,21.16
2001,10,4.3,16.62
2001,11,0.44,9.36
2001,12,0.54,6.11
2002,1,2.36,8.27
2002,2,1.23,9.51
2002,3,2.85,12.4
2002,4,1.51,14.03
2002,5,0.78,15.7
2002,6,0.39,21.01
2002,7,0.08,23.73
2002,8,0.11,23.31
2002,9,3.73,19.8
2002,10,2.49,16.8
2002,11,4.82,11.82
2002,12,4.42,10.25
2003,1,3.73,7.43
2003,2,3.64,8.52
2003,3,2.55,12.06
2003,4,2.14,13.37
2003,5,1.29,17.72
2003,6,2.28,21.26
2003,7,1.18,21.36
2003,8,1.57,25.03
2003,9,1.83,21.3
2003,10,4.92,15.2
2003,11,3.56,11.8
2003,12,2.82,8.24
2004,1,2.59,9.2
2004,2,1.35,8.97
2004,3,1.37,10.29
2004,4,0.92,13.56
2004,5,0.93,16.48
2004,6,0.04,23.67
2004,7,0.02,23.92
2004,8,1.05,22.66
2004,9,0.71,21.64
2004,10,4.92,16.15
2004,11,1.12,10.43
2004,12,0.68,7.46
2005,1,0.05,6.49
2005,2,0.51,6.68
2005,3,1.44,11.53
2005,4,0.96,14.32
2005,5,0.67,18.09
2005,6,0.02,24.29
2005,7,0.12,25.07
2005,8,0.08,26.17
2005,9,0.33,21.47
2005,10,3.81,17.47
2005,11,2.71,10.08
2005,12,1.98,7.7
2006,1,1.18,6.16
2006,2,2.02,7.9
2006,3,3.16,11.48
2006,4,1.75,15.46
2006,5,0.03,18.8
2006,6,0.97,22.02
2006,7,0.34,25.51
2006,8,0.68,25.67
2006,9,1.87,22.17
2006,10,4.97,17.71
2006,11,5.75,13.73
2006,12,2.01,7.29
2007,1,0.5,7.32
2007,2,3.19,10.19
2007,3,0.75,11.05
2007,4,1.25,13.98
2007,5,1.39,16.79
2007,6,1.79,19.42
2007,7,0.32,22.39
2007,8,0.25,23.14
2007,9,1.94,22.65
2007,10,0.5,17.0
2007,11,1.74,11.35
2007,12,0.52,7.72
2008,1,2.45,9.73
2008,2,2.04,10.46
2008,3,0.61,11.39
2008,4,3.94,14.73
2008,5,2.73,15.7
2008,6,0.23,21.5
2008,7,0.05,23.01
2008,8,0.11,22.86
2008,9,0.79,20.55
2008,10,1.15,16.1
2008,11,1.47,9.64
2008,12,2.84,7.86
2009,1,4.68,7.54
2009,2,1.95,9.38
2009,3,0.38,13.43
2009,4,1.58,12.36
2009,5,0.62,17.98
2009,6,1.1,22.53
2009,7,0.19,22.36
2009,8,0.08,25.37
2009,9,0.29,22.6
2009,10,2.45,18.84
2009,11,3.8,12.7
2009,12,6.96,8.61
2010,1,4.18,7.48
2010,2,6.52,8.0
2010,3,3.44,10.53
2010,4,2.31,14.91
2010,5,1.13,16.31
2010,6,0.99,20.81
2010,7,0.02,24.67
2010,8,0.03,26.18
2010,9,0.22,21.74
2010,10,4.52,15.63
2010,11,3.03,10.6
2010,12,5.67,8.35
2011,1,2.9,7.71
2011,2,3.44,9.24
2011,3,1.76,10.84
2011,4,3.42,16.88
2011,5,2.01,19.63
2011,6,0.1,20.45
2011,7,0.03,22.02
2011,8,0.4,22.87
2011,9,0.74,21.71
2011,10,2.18,19.68
2011,11,5.92,11.41
2011,12,1.02,8.41
2012,1,0.4,7.67
2012,2,0.08,6.74
2012,3,0.3,12.34
2012,4,2.22,11.7
2012,5,2.46,18.1
2012,6,0.25,20.76
2012,7,0.03,22.84
2012,8,0.3,23.24
2012,9,1.38,22.45
2012,10,3.58,16.03
2012,11,5.2,10.68
2012,12,3.01,8.87
2013,1,3.97,8.59
2013,2,2.08,7.94
2013,3,7.61,10.43
2013,4,1.39,13.19
2013,5,0.86,15.41
2013,6,0.6,19.81
2013,7,0.04,24.01
2013,8,0.0,24.88
2013,9,1.22,23.19
2013,10,3.07,17.17
2013,11,0.33,10.39
2013,12,1.46,7.94
2014,1,3.15,9.38
2014,2,3.26,9.11
2014,3,0.97,11.75
2014,4,1.45,15.33
2014,5,1.09,17.62
2014,6,0.76,20.29
2014,7,0.65,23.04
2014,8,0.09,22.64
2014,9,3.45,21.06
2014,10,2.3,18.55
2014,11,5.18,12.33
2014,12,0.64,7.52
2015,1,1.89,7.11
2015,2,0.69,7.75
2015,3,0.44,11.81
2015,4,1.74,15.08
2015,5,0.62,19.66
2015,6,0.5,23.05
2015,7,0.09,24.27
2015,8,0.13,23.67
2015,9,0.73,20.35
2015,10,5.22,16.76
2015,11,1.21,12.6
2015,12,1.97,10.14
2016,1,5.5,9.95
2016,2,4.41,9.27
2016,3,1.7,10.01
2016,4,4.2,13.0
2016,5,4.42,15.75
2016,6,0.33,20.68
2016,7,0.22,24.78
2016,8,0.16,24.95
2016,9,0.53,22.13
2016,10,2.69,17.09
2016,11,4.47,11.2
2016,12,1.85,9.0
2017,1,1.73,6.96
2017,2,3.48,10.04
2017,3,2.43,11.82
2017,4,0.27,16.01
2017,5,1.89,19.1
2017,6,0.3,22.76
2017,7,0.11,23.6
2017,8,0.19,24.28
2017,9,0.02,20.94
2017,10,0.57,20.61
2017,11,1.35,12.29
2017,12,1.75,8.59
2018,1,2.16,8.46
2018,2,2.73,8.27
2018,3,9.22,10.19
2018,4,3.69,13.36
2018,5,1.36,16.84
2018,6,1.23,19.92
2018,7,0.12,21.51
2018,8,0.04,25.49
2018,9,0.29,24.71
2018,10,2.41,17.37
2018,11,5.55,11.44
2018,12,1.03,9.35
2019,1,1.72,7.86
2019,2,0.73,10.12
2019,3,1.25,12.68
2019,4,3.41,13.54
2019,5,0.57,19.05
2019,6,0.47,19.16
2019,7,0.18,23.14
2019,8,0.51,23.69
2019,9,0.71,22.21
2019,10,1.85,17.18
2019,11,5.35,12.06
2019,12,5.44,10.15
2020,1,2.06,8.5
2020,2,0.35,11.86
2020,3,2.75,12.22
2020,4,5.57,14.06
2020,5,3.07,19.45
2020,6,0.35,19.44
2020,7,0.26,25.44
2020,8,0.26,22.84
2020,9,1.18,22.14
2020,10,7.25,15.57
2020,11,4.4,12.89
2020,12,3.39,9.12
2021,1,2.67,6.99
2021,2,4.17,11.03
2021,3,0.5,11.96
2021,4,3.81,15.27
2021,5,0.88,16.58
2021,6,1.02,20.13
2021,7,0.07,21.87
2021,8,0.19,23.03
2021,9,2.64,20.78
2021,10,2.72,18.34
2021,11,0.61,10.45
2021,12,2.78,10.62
2022,1,0.44,7.8
2022,2,1.96,10.58
2022,3,3.73,11.72
2022,4,2.3,13.59
2022,5,0.16,19.98
2022,6,0.7,21.33
2022,7,0.03,27.0
2022,8,0.02,25.34
2022,9,2.32,21.36
2022,10,3.33,18.99
2022,11,4.21,13.04
2022,12,7.71,12.13
2023,1,2.5,7.97
2023,2,0.46,8.53
2023,3,1.16,12.82
2023,4,0.51,16.65
2023,5,1.6,18.18
2023,6,1.22,22.72
2023,7,0.03,22.99
2023,8,0.02,25.21
2023,9,3.12,21.22
2023,10,5.17,19.47
2023,11,3.62,13.59
2023,12,1.46,8.61
