Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1990,1990,t,9357.0,I,Imputed value
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1991,1991,t,9357.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1992,1992,t,6117.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1993,1993,t,8985.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1994,1994,t,9580.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1995,1995,t,11815.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1996,1996,t,12457.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1997,1997,t,12750.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1998,1998,t,14389.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,1999,1999,t,15411.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2000,2000,t,15470.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2001,2001,t,15503.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2002,2002,t,17452.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2003,2003,t,17030.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2004,2004,t,16942.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2005,2005,t,16353.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2006,2006,t,15702.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2007,2007,t,16682.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2008,2008,t,17080.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2009,2009,t,13985.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2010,2010,t,13774.0,A,Official figure
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2011,2011,t,14024.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2012,2012,t,12442.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2013,2013,t,10123.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2014,2014,t,12888.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2015,2015,t,10003.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2016,2016,t,9772.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2017,2017,t,8103.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2018,2018,t,8057.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2019,2019,t,9866.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2020,2020,t,9706.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2021,2021,t,9583.0,X,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2022,2022,t,9040.0,A,Taken from Eurostat sales database
174,'620,Portugal,1357,Pesticides (total),5157,Agricultural Use,2023,2023,t,7857.0,A,Taken from Eurostat sales database
